None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,XOM,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-26,-19564000000,346196000000,349610000000,47973000000.0,298223000000.0,0.83,45.301,-19574000000,3042000000,3042000000,188835000000,21421000000,0.84,0.77,37796000000,17258000000.0,20538000000.0,37796000000,0,18745000000,0,0.047,3.23,31138000000,49883000000,0.172,49883000000,31138000000,30372000000,4.88,4.88,4.88,191794000000,189394000000,191794000000,323071310922,10,6.477,16440000000,3.883,1.0,101377000000,0.349,0,766000000,323812000000,324166250000,18958000000,40790000000,0.0,40790000000.0,147668000000,57138000000.0,90530000000.0,288703310922,-135000000,2142000000,-626000000,-4925000000,-13798000000,-19446000000,-16446000000,0,36014000000,-257000000,20840000000,20840000000,20840000000,0,581000000,0.072,69658000000,31719000000,37268000000,0.662,1.505,13.853,13.973,247101000000,0,68.19,0.995,0.995,24701000000,421653000000,290212000000,290212000000,1466000000,0.06,0.11,0.096,0.107,0,11480000000,1.0,4233807170,4233807170,,68.546,346196000000,0,9532000000,29856000000,81.769,-9165000000.0
8,WMT,MRY,2018-12-31,2019-01-31,2019-01-31,2019-12-04,-11542000000,219295000000,214216750000,61897000000.0,157398000000.0,2.401,24.751,-9825000000,7722000000,7722000000,385301000000,7179000000,0.799,1.926,58033000000,7830000000.0,50203000000.0,58033000000,0,10678000000,0,0.022,2.08,13297000000,23975000000,0.047,23975000000,13297000000,10951000000,2.28,2.26,2.28,72496000000,72807250000,72496000000,330228071454,25,13.774,17928000000,6.121,1.0,129104000000,0.251,31181000000,2346000000,160948000000,155206500000,44269000000,0,0.0,0.0,139661000000,77477000000.0,62184000000.0,278411071454,742000000,-13780000000,-7410000000,12035000000,-6102000000,-2537000000,-24036000000,0,27753000000,-438000000,6670000000,6670000000,6670000000,0,509000000,0.013,107147000000,21957000000,47060000000,0.912,3.84,41.741,42.031,111395000000,0,95.83,0.541,0.546,6283000000,80785000000,514405000000,514405000000,0,0.031,0.092,0.086,0.026,0,107147000000,1.0,2905260059,2929000000,2945000000.0,175.625,188114000000,0,4281000000,12409000000,64.225,-15580000000.0
16,VZ,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-21,2370000000,264829000000,264552500000,34636000000.0,230193000000.0,0.495,12.874,-16658000000,2745000000,2745000000,55508000000,16039000000,0.913,3.954,113063000000,7190000000.0,105873000000.0,113063000000,0,17403000000,0,0.042,2.372,23945000000,41348000000,0.316,41348000000,23945000000,19112000000,3.76,3.76,3.76,53145000000,52611250000,53145000000,342705888978,14,8.288,17681000000,4.283,1.0,75355000000,0.576,128519000000,4833000000,208698000000,211432750000,1336000000,671000000,0.0,671000000.0,210119000000,37930000000.0,172189000000.0,232301888978,1028000000,-230000000,0,-3781000000,-9772000000,-15377000000,-17934000000,0,34339000000,0,15528000000,15528000000,15528000000,0,511000000,0.119,53077000000,22278000000,22501000000,0.631,4.371,14.96,14.952,89286000000,0,56.22,1.775,1.773,25102000000,43542000000,130863000000,130863000000,0,0.059,0.295,0.113,0.183,0,31083000000,1.0,4132015101,4128000000,4132000000.0,31.701,136310000000,0,3584000000,33795000000,33.021,-3294000000.0
24,V,MRY,2018-12-31,2018-09-30,2018-09-30,2020-02-01,547000000,69225000000,68399000000,18216000000.0,51009000000.0,0.301,16.596,-704000000,9653000000,9653000000,3170000000,10301000000,1.611,1.036,16630000000,0.0,16630000000.0,16630000000,0,613000000,0,0.005,0.825,13418000000,14031000000,0.681,14031000000,13418000000,12806000000,4.43,4.42,4.43,34006000000,33707000000,34006000000,311955802382,23,22.233,12237000000,5.972,1.0,17439000000,0.846,42752000000,612000000,22145000000,22372250000,0,7629000000,3547000000.0,4082000000.0,35219000000,11305000000.0,23914000000.0,305320802382,-1034000000,-196000000,-7028000000,-1750000000,-1918000000,-10790000000,-3084000000,-2184000000,12941000000,-101000000,10301000000,10301000000,10301000000,0,0,0.5,4485000000,12954000000,2351000000,0.186,8.978,29.64,33.88,2472000000,0,150.09,14.815,14.922,2790000000,11318000000,20609000000,20609000000,0,0.151,0.306,0.6,0.651,327000000,2579000000,1.0,2034251465,2049000000,2586000000.0,10.058,26473000000,0,2505000000,4618000000,12.92,6911000000.0
32,UTX,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-06,-9333000000,134211000000,112374500000,35503000000.0,98708000000.0,0.592,48.033,-1902000000,6152000000,6152000000,49985000000,5269000000,1.132,2.432,45537000000,4345000000.0,41192000000.0,45537000000,0,2433000000,0,0.027,2.835,8933000000,11366000000,0.171,11366000000,8933000000,7895000000,6.58,6.5,6.58,38446000000,33112500000,38446000000,102227797722,11,8.994,4420000000,5.522,1.0,16516000000,0.248,74536000000,1038000000,67692000000,57342000000,10083000000,0,0.0,0.0,93492000000,31368000000.0,62124000000.0,85288797723,-2806000000,-14293000000,-289000000,10579000000,-2170000000,7965000000,-16973000000,143000000,6322000000,-120000000,5269000000,5269000000,5269000000,0,0,0.079,9528000000,6988000000,11080000000,0.431,2.218,16.187,16.182,12297000000,0,106.48,1.283,1.282,14271000000,57823000000,66501000000,66501000000,2462000000,0.047,0.159,0.156,0.134,251000000,7066000000,1.0,800984201,800400000,810100000.0,83.085,59675000000,1646000000,2626000000,0,74.556,4135000000.0
40,UNH,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-15,-4160000000,152221000000,153372000000,38692000000.0,113529000000.0,1.475,53.682,-2063000000,10866000000,10866000000,172401000000,12382000000,0.727,1.857,36554000000,1973000000.0,34581000000.0,36554000000,2396000000,2428000000,0,0.014,3.45,16948000000,19376000000,0.086,19376000000,16948000000,15548000000,12.45,12.19,12.45,51696000000,49388000000,51696000000,262951959904,16,13.571,13650000000,14.174,1.0,53846000000,0.238,68235000000,1400000000,56465000000,47480000000,0,39000000000,6490000000.0,32510000000.0,95994000000,53209000000.0,42785000000.0,239661959904,-1115000000,-5997000000,-3662000000,4134000000,-3320000000,-4365000000,-12385000000,-4099000000,15713000000,-78000000,11986000000,11986000000,11986000000,0,396000000,0.053,36502000000,17344000000,36596000000,0.277,4.636,19.995,20.01,8458000000,0,249.12,1.059,1.06,18250000000,55846000000,226247000000,226247000000,0,0.078,0.243,0.357,0.075,638000000,34074000000,1.0,962034200,963000000,983000000.0,234.94,83986000000,0,3562000000,2474000000,87.213,-14517000000.0
48,TSLA,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-14,-8000000,29740000000,28546035500,8307000000.0,21433000000.0,0.752,28.789,-2319000000,3879000000,3879000000,17419000000,-1063000000,0.831,4.759,11972000000,2568000000.0,9404000000.0,11972000000,1621000000,1901000000,793000000,0.0,0.0,-255000000,1646000000,0.077,1646000000,-255000000,-918000000,-5.72,-5.72,-5.72,4923000000,4447238500,4923000000,65805687520,-258,39.979,-221000000,-1.292,1.0,4042000000,0.188,350000000,663000000,27490000000,27275058250,3113000000,820000000,0.0,820000000.0,23427000000,9993000000.0,13434000000.0,57152667520,312000000,-18000000,296000000,89000000,0,574000000,-2337000000,0,2098000000,-23000000,-976000000,-976000000,-976000000,0,-87000000,-0.045,4430000000,-388000000,3405000000,0.0,11.609,-58.558,-58.182,19691000000,0,332.8,2.663,2.652,949000000,-5318000000,21461000000,21461000000,1460000000,-0.034,-0.219,-0.009,-0.012,749000000,2835000000,1.0,171732775,171000000,171000000.0,125.503,29390000000,0,58000000,0,171.871,-1686000000.0
56,TRV,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-13,-1859000000,104233000000,103955500000,,,0.291,85.617,0,373000000,373000000,18291000000,2523000000,,3.553,6564000000,,,6564000000,0,0,0,0.025,3.03,3313000000,3313000000,0.109,3313000000,3313000000,2961000000,9.37,9.28,9.37,22894000000,22739000000,22894000000,37924715779,11,11.447,4380000000,16.38,1.0,11991000000,0.396,4282000000,352000000,106142000000,105913750000,0,72278000000,,,81339000000,,,31719715779,29000000,-4000000,-1189000000,-9000000,-814000000,-2012000000,-2329000000,-1951000000,4380000000,-10000000,2523000000,2523000000,2523000000,0,0,0.083,8678000000,3313000000,5074000000,0.323,1.386,12.572,12.78,0,0,119.75,1.047,1.057,20661000000,35204000000,30282000000,30282000000,0,0.024,0.111,0.031,0.109,0,4297000000,1.0,264882804,267400000,269800000.0,113.246,99951000000,445000000,438000000,0,373.788,
64,PG,MRY,2018-12-31,2018-06-30,2018-06-30,2020-01-23,-14749000000,118310000000,123043500000,23320000000.0,94990000000.0,0.543,21.03,-3717000000,2569000000,2569000000,34432000000,9861000000,0.826,1.237,31286000000,10423000000.0,20863000000.0,31286000000,0,2834000000,0,0.036,2.787,13721000000,16555000000,0.248,16555000000,13721000000,13215000000,3.75,3.67,3.75,52883000000,54491250000,52883000000,226262635097,16,13.667,11150000000,4.434,1.0,32400000000,0.485,69077000000,506000000,49713000000,52224000000,4738000000,9281000000,9281000000.0,0.0,65427000000,28237000000.0,37190000000.0,196289635097,-3000000000,-109000000,-5827000000,-1238000000,-7310000000,-14375000000,-3511000000,46000000,14867000000,19000000,9750000000,9750000000,9750000000,0,111000000,0.146,19037000000,13363000000,10344000000,0.743,3.712,20.132,20.816,20600000000,0,78.06,2.937,2.937,4686000000,98641000000,66832000000,66832000000,0,0.079,0.179,0.263,0.205,395000000,19037000000,1.0,2514599476,2514599476,,26.578,49233000000,0,3465000000,6163000000,19.579,-4917000000.0
72,PFE,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-28,-11275000000,159422000000,164213000000,49926000000.0,109496000000.0,0.327,10.798,-2196000000,1139000000,1139000000,11248000000,11188000000,1.567,1.509,41740000000,8831000000.0,32909000000.0,41740000000,0,6384000000,0,0.031,1.36,11859000000,18243000000,0.34,18243000000,11859000000,11859000000,1.9,1.87,1.9,63407000000,68672000000,63407000000,289795715330,24,15.885,13631000000,2.321,1.0,42399000000,0.79,88622000000,0,79543000000,73711750000,7508000000,20461000000,17694000000.0,2767000000.0,95664000000,31858000000.0,63806000000.0,252317715330,-205000000,0,-10939000000,-935000000,-7978000000,-20441000000,4525000000,6434000000,15827000000,-116000000,11153000000,11153000000,11153000000,-10000000,36000000,0.208,30514000000,11885000000,4674000000,0.716,3.979,22.623,22.974,13385000000,0,43.65,4.703,4.778,8025000000,89554000000,53647000000,53647000000,8006000000,0.068,0.162,0.161,0.221,949000000,14455000000,1.0,5780474578,5872000000,5977000000.0,9.136,70800000000,5298000000,706000000,19702000000,12.057,18068000000.0
